Player,Mat,NO,Runs,Ave,BF,SR,100,50,0,4s,6s,Team
CN Ackermann,9,0,216,24.00,263,82.12,0,1,1,27,0,Netherlands
JM Bairstow,9,0,215,23.88,243,88.47,0,2,1,27,3,England
WA Young,6,0,206,34.33,246,83.73,0,2,1,23,6,New Zealand
Mushfiqur Rahim,9,1,202,25.25,255,79.21,0,2,0,14,4,Bangladesh
Mehidy Hasan Miraz,9,0,201,22.33,253,79.44,0,1,0,21,2,Bangladesh
Shakib Al Hasan,7,0,186,26.57,226,82.3,0,1,0,21,4,Bangladesh
HC Brook,6,0,169,28.16,150,112.66,0,1,0,20,5,England
Towhid Hridoy,7,1,164,32.80,210,78.09,0,1,0,7,5,Bangladesh
AT Nidamanuru,7,1,164,27.33,167,98.2,0,1,0,11,10,Netherlands
Imam-ul-Haq,6,0,162,27.00,180,90.0,0,1,0,23,0,Pakistan
JP Inglis,10,0,159,19.87,168,94.64,0,1,1,17,3,Australia
M Jansen,9,3,157,31.40,142,110.56,0,1,1,9,9,South Africa
TWM Latham,10,2,155,25.83,170,91.17,0,2,1,12,3,New Zealand
MDKJ Perera,7,0,149,21.28,147,101.36,0,2,1,25,2,Sri Lanka
T Bavuma,8,0,145,18.12,197,73.6,0,0,1,18,3,South Africa
Tanzid Hasan,9,0,145,16.11,152,95.39,0,1,1,22,3,Bangladesh
Iftikhar Ahmed,9,2,142,23.66,123,115.44,0,0,0,11,8,Pakistan
DM de Silva,8,0,140,20.00,184,76.08,0,0,0,13,4,Sri Lanka
LV van Beek,8,2,140,23.33,179,78.21,0,1,1,9,3,Netherlands
BFW de Leede,9,0,139,15.44,199,69.84,0,1,0,15,2,Netherlands
JC Buttler,9,0,138,15.33,142,97.18,0,0,0,11,5,England
MP O'Dowd,9,0,138,15.33,200,69.0,0,0,1,22,2,Netherlands
CR Woakes,8,1,131,18.71,155,84.51,0,1,1,15,2,England
PJ Cummins,11,4,128,32.00,186,68.81,0,0,0,13,5,Australia
Shadab Khan,6,0,121,24.20,120,100.83,0,0,0,7,4,Pakistan
RA Jadeja,11,2,120,40.00,118,101.69,0,0,0,7,3,India
SA Yadav,7,1,106,17.66,105,100.95,0,0,0,12,1,India
Rashid Khan,9,1,105,21.00,111,94.59,0,0,0,7,5,Afghanistan
MJ Santner,10,3,103,25.75,81,127.16,0,0,0,6,5,New Zealand
M Theekshana,8,2,100,25.00,185,54.05,0,0,2,11,1,Sri Lanka
Vikramjit Singh,6,0,98,16.33,150,65.33,0,1,0,12,1,Netherlands
RR Hendricks,2,0,97,48.50,94,103.19,0,1,0,10,3,South Africa
MM Ali,6,0,95,15.83,127,74.8,0,0,0,8,1,England
AU Rashid,9,3,92,15.33,91,101.09,0,0,0,7,2,England
Ikram Alikhil,7,1,89,44.50,101,88.11,0,1,0,7,3,Afghanistan
MP Stoinis,6,1,87,21.75,77,112.98,0,0,0,8,4,Australia
MA Starc,10,1,87,12.42,151,57.61,0,0,1,7,1,Australia
MA Wood,7,4,85,28.33,65,130.76,0,0,1,7,5,England
MS Chapman,8,1,84,16.80,71,118.3,0,0,0,10,1,New Zealand
W Barresi,4,0,83,20.75,112,74.1,0,0,0,11,1,Netherlands
Mohammad Nawaz,5,0,81,20.25,97,83.5,0,0,0,5,3,Pakistan
MD Shanaka,2,0,80,40.00,80,100.0,0,1,0,6,3,Sri Lanka
DJ Willey,6,2,78,19.50,67,116.41,0,0,0,7,6,England
A Dutt,9,3,70,11.66,87,80.45,0,0,0,1,5,Netherlands
RE van der Merwe,8,0,68,8.50,85,80.0,0,0,2,4,3,Netherlands
C Green,3,0,63,21.00,83,75.9,0,0,0,6,0,Australia
LS Livingstone,6,0,60,10.00,94,63.82,0,0,1,6,0,England
KA Maharaj,10,3,59,19.66,80,73.75,0,0,0,7,1,South Africa
JDS Neesham,3,0,58,29.00,47,123.4,0,1,1,3,3,New Zealand
Mohammad Nabi,9,0,55,9.16,76,72.36,0,0,0,3,1,Afghanistan
Shaheen Shah Afridi,9,3,55,18.33,60,91.66,0,0,0,7,1,Pakistan
G Coetzee,8,0,54,13.50,78,69.23,0,0,0,4,1,South Africa
Haris Rauf,9,2,53,17.66,45,117.77,0,0,0,5,4,Pakistan
CAK Rajitha,6,0,52,13.00,57,91.22,0,0,1,6,1,Sri Lanka
Agha Salman,3,0,51,51.00,45,113.33,0,1,0,6,1,Pakistan
AD Mathews,5,0,51,12.75,78,65.38,0,0,1,4,1,Sri Lanka
Mujeeb Ur Rahman,9,1,51,12.75,40,127.5,0,0,0,6,2,Afghanistan
Taskin Ahmed,7,1,49,12.25,93,52.68,0,0,0,1,3,Bangladesh
A Zampa,11,3,48,16.00,60,80.0,0,0,1,5,0,Australia
Ishan Kishan,2,0,47,23.50,48,97.91,0,0,1,5,2,India
Mustafizur Rahman,8,2,42,10.50,89,47.19,0,0,0,4,1,Bangladesh
Nasum Ahmed,3,0,40,13.33,48,83.33,0,0,0,5,0,Bangladesh
AL Phehlukwayo,1,1,39,0,37,105.4,0,0,0,1,3,South Africa
AAP Atkinson,3,1,37,18.50,23,160.86,0,0,1,7,0,England
SM Curran,3,0,35,11.66,57,61.4,0,0,0,1,0,England
Mahedi Hasan,3,1,33,16.50,73,45.2,0,0,0,2,0,Bangladesh
D Madushanka,9,4,28,14.00,67,41.79,0,0,0,4,0,Sri Lanka
Shoriful Islam,8,5,28,28.00,28,100.0,0,0,0,3,1,Bangladesh
Noor Ahmad,4,0,26,26.00,32,81.25,0,0,0,4,0,Afghanistan
