Match,Team,Bowler Name,Overs,Maidens,Runs Conceded,Economy,0s,4s,6s,WD,NB
7,England,Chris Woakes,8.0,0,49,6.12,24,6,0,0,0
7,England,Reece Topley,10.0,1,43,4.3,35,3,1,0,0
7,England,Sam Curran,7.2,0,47,6.4,15,5,0,2,0
7,England,Mark Wood,10.0,0,29,2.9,38,2,0,1,0
7,England,Adil Rashid,10.0,0,42,4.2,31,1,1,0,0
7,England,Liam Livingstone,3.0,0,13,4.33,11,0,1,0,0
8,Pakistan,Shaheen Shah Afridi,9.0,0,66,7.33,27,9,1,4,0
8,Pakistan,Hasan Ali,10.0,0,71,7.1,32,6,4,3,1
8,Pakistan,Mohammad Nawaz,9.0,0,62,6.88,23,7,1,0,0
8,Pakistan,Haris Rauf,10.0,0,64,6.4,30,6,2,1,0
8,Pakistan,Shadab Khan,8.0,0,55,6.87,20,6,1,0,0
8,Pakistan,Iftikhar Ahmed,4.0,0,22,5.5,11,2,0,1,0
8,Sri Lanka,Maheesh Theekshana,10.0,0,59,5.9,23,3,0,1,0
8,Sri Lanka,Dilshan Madushanka,9.2,0,60,6.42,27,5,1,2,1
8,Sri Lanka,Dasun Shanaka,5.0,0,28,5.6,10,2,0,0,0
8,Sri Lanka,Matheesha Pathirana,9.0,0,90,10.0,14,8,1,9,0
8,Sri Lanka,Dunith Wellalage,10.0,0,62,6.2,24,4,2,0,0
8,Sri Lanka,Dhananjaya de Silva,4.0,0,36,9.0,7,3,2,0,0
8,Sri Lanka,Charith Asalanka,1.0,0,10,10.0,1,1,0,0,0
9,India,Jasprit Bumrah,10.0,0,39,3.9,41,5,0,3,0
9,India,Mohammed Siraj,9.0,0,76,8.44,23,12,1,1,0
9,India,Hardik Pandya,7.0,0,43,6.14,23,5,1,2,0
9,India,Shardul Thakur,6.0,0,31,5.16,21,2,1,1,1
9,India,Kuldeep Yadav,10.0,0,40,4.0,35,0,3,0,0
9,India,Ravindra Jadeja,8.0,0,38,4.75,22,1,1,0,1
9,Afghanistan,Fazalhaq Farooqi,6.0,0,50,8.33,17,6,2,1,0
9,Afghanistan,Mujeeb Ur Rahman,8.0,0,64,8.0,18,6,1,3,0
9,Afghanistan,Naveen-ul-Haq,5.0,0,31,6.2,16,4,1,0,0
9,Afghanistan,Azmatullah Omarzai,4.0,0,34,8.5,12,5,1,1,0
9,Afghanistan,Mohammad Nabi,4.0,0,32,8.0,11,3,2,0,0
9,Afghanistan,Rashid Khan,8.0,0,57,7.12,12,4,1,1,0
10,Australia,Mitchell Starc,9.0,1,53,5.88,29,3,3,1,0
10,Australia,Josh Hazlewood,9.0,0,60,6.66,30,7,2,3,0
10,Australia,Glenn Maxwell,10.0,1,34,3.4,32,0,0,2,0
10,Australia,Pat Cummins,9.0,0,71,7.88,19,6,3,0,0
10,Australia,Adam Zampa,10.0,0,70,7.0,20,9,0,1,0
10,Australia,Mitchell Marsh,1.0,0,6,6.0,1,0,0,0,0
10,Australia,Marcus Stoinis,2.0,0,11,5.5,5,1,0,0,0
10,South Africa,Lungi Ngidi,8.0,2,18,2.25,35,0,0,1,0
10,South Africa,Marco Jansen,7.0,0,54,7.71,24,8,0,3,1
10,South Africa,Kagiso Rabada,8.0,1,33,4.12,35,5,0,1,1
10,South Africa,Keshav Maharaj,10.0,0,30,3.0,40,2,0,2,0
10,South Africa,Tabraiz Shamsi,7.5,0,38,4.85,24,4,0,0,0
11,New Zealand,Trent Boult,10.0,0,45,4.5,37,5,1,2,0
11,New Zealand,Matt Henry,10.0,0,58,5.8,27,6,0,0,1
11,New Zealand,Lockie Ferguson,10.0,0,49,4.9,44,4,3,2,2
11,New Zealand,Mitchell Santner,10.0,1,31,3.1,36,2,0,0,0
11,New Zealand,Glenn Phillips,2.0,0,13,6.5,8,1,1,0,1
11,New Zealand,Rachin Ravindra,7.0,0,37,5.28,22,2,2,0,0
11,New Zealand,Daryl Mitchell,1.0,0,11,11.0,1,0,1,0,0
11,Bangladesh,Mustafizur Rahman,8.0,0,36,4.5,26,3,0,3,0
11,Bangladesh,Shoriful Islam,7.5,1,43,5.48,30,5,1,3,0
11,Bangladesh,Taskin Ahmed,8.0,0,56,7.0,20,6,1,3,0
11,Bangladesh,Shakib Al Hasan,10.0,0,54,5.4,30,2,3,0,0
11,Bangladesh,Mehidy Hasan Miraz,9.0,0,58,6.44,17,4,1,1,0
12,India,Jasprit Bumrah,7.0,1,19,2.71,33,3,0,1,0
12,India,Mohammed Siraj,8.0,0,50,6.25,22,7,0,0,0
12,India,Hardik Pandya,6.0,0,34,5.66,20,6,0,0,0
12,India,Kuldeep Yadav,10.0,0,35,3.5,38,4,0,0,0
12,India,Ravindra Jadeja,9.5,0,38,3.86,35,4,0,0,0
12,India,Shardul Thakur,2.0,0,12,6.0,6,2,0,0,0
12,Pakistan,Shaheen Shah Afridi,6.0,0,36,6.0,21,5,1,1,0
12,Pakistan,Hasan Ali,6.0,0,34,5.66,23,7,0,0,0
12,Pakistan,Mohammad Nawaz,8.3,0,47,5.52,23,3,2,0,0
12,Pakistan,Haris Rauf,6.0,0,43,7.16,14,1,3,0,0
12,Pakistan,Shadab Khan,4.0,0,31,7.75,10,2,2,0,0
13,England,Chris Woakes,4.0,0,41,10.25,13,4,2,2,0
13,England,Reece Topley,8.5,1,52,5.88,30,5,1,3,1
13,England,Sam Curran,4.0,0,46,11.5,9,5,2,0,2
13,England,Adil Rashid,10.0,1,42,4.2,29,1,1,1,0
13,England,Mark Wood,9.0,0,50,5.55,27,5,1,0,0
13,England,Liam Livingstone,10.0,0,33,3.3,31,1,0,0,0
13,England,Joe Root,4.0,0,19,4.75,16,2,1,0,0
13,Afghanistan,Mujeeb Ur Rahman,10.0,1,51,5.1,31,2,1,1,0
13,Afghanistan,Fazalhaq Farooqi,7.0,0,50,7.14,23,9,0,2,0
