Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
TA Boult (NZ),2023-2023,10,10,546,91.0,6,504,14,3/37,36.00,5.53,39.00,-,-
K Rabada (SA),2023-2023,9,9,437,72.5,7,364,13,3/33,28.00,4.99,33.61,-,-
PA van Meekeren (NED),2023-2023,9,9,446,74.2,1,447,12,4/23,37.25,6.01,37.16,1,-
LV van Beek (NED),2023-2023,8,8,425,70.5,1,476,12,4/74,39.66,6.72,35.41,1,-
DJ Willey (ENG),2023-2023,6,6,306,51.0,6,259,11,3/45,23.54,5.07,27.81,-,-
MJ Henry (NZ),2023-2023,7,7,326,54.2,3,315,11,3/40,28.63,5.79,29.63,-,-
Rashid Khan (AFG),2023-2023,9,9,519,86.3,2,388,11,3/37,35.27,4.48,47.18,-,-
Mohammad Wasim (PAK),2023-2023,4,4,229,38.1,2,215,10,3/31,21.50,5.63,22.90,-,-
CR Woakes (ENG),2023-2023,8,8,330,55.0,1,298,10,4/54,29.80,5.41,33.00,1,-
LH Ferguson (NZ),2023-2023,7,7,324,54.0,3,301,10,3/19,30.10,5.57,32.40,-,-
L Ngidi (SA),2023-2023,8,8,363,60.3,6,355,10,2/26,35.50,5.86,36.30,-,-
Mehidy Hasan Miraz (BAN),2023-2023,9,9,432,72.0,3,402,10,3/25,40.20,5.58,43.20,-,-
Shoriful Islam (BAN),2023-2023,8,8,388,64.4,3,409,10,3/75,40.90,6.32,38.80,-,-
A Dutt (NED),2023-2023,9,9,465,77.3,6,426,10,3/44,42.60,5.49,46.50,-,-
T Shamsi (SA),2023-2023,4,4,227,37.5,-,212,9,4/60,23.55,5.60,25.22,1,-
Hasan Ali (PAK),2023-2023,6,6,306,51.0,2,321,9,4/71,35.66,6.29,34.00,1,-
Shakib Al Hasan (BAN),2023-2023,7,7,375,62.3,1,329,9,3/30,36.55,5.26,41.66,-,-
