Match,Team,Bowler Name,Overs,Maidens,Runs Conceded,Economy,0s,4s,6s,WD,NB
5,Australia,Cameron Green,2.0,0.0,11.0,5.5,7.0,2.0,0.0,0.0,0.0
5,Australia,Adam Zampa,8.0,0.0,53.0,6.62,13.0,4.0,0.0,0.0,0.0
6,Netherlands,Aryan Dutt,10.0,2.0,62.0,6.2,31.0,3.0,3.0,1.0,0.0
6,Netherlands,Ryan Klein,7.0,1.0,41.0,5.85,25.0,7.0,0.0,1.0,0.0
6,Netherlands,Paul van Meekeren,9.0,0.0,59.0,6.55,28.0,7.0,2.0,0.0,1.0
6,Netherlands,Roelof van der Merwe,9.0,0.0,56.0,6.22,20.0,5.0,1.0,0.0,0.0
6,Netherlands,Colin Ackermann,4.0,0.0,28.0,7.0,9.0,1.0,2.0,0.0,0.0
6,Netherlands,Bas de Leede,10.0,0.0,64.0,6.4,28.0,6.0,2.0,0.0,1.0
6,Netherlands,Vikramjit Singh,1.0,0.0,9.0,9.0,1.0,1.0,0.0,0.0,0.0
6,New Zealand,Trent Boult,8.0,0.0,34.0,4.25,29.0,3.0,0.0,1.0,0.0
6,New Zealand,Matt Henry,8.3,0.0,40.0,4.7,29.0,4.0,0.0,0.0,0.0
6,New Zealand,Mitchell Santner,10.0,0.0,59.0,5.9,30.0,4.0,2.0,0.0,0.0
6,New Zealand,Lockie Ferguson,8.0,0.0,32.0,4.0,31.0,5.0,0.0,0.0,0.0
6,New Zealand,Rachin Ravindra,10.0,0.0,46.0,4.6,30.0,3.0,1.0,0.0,1.0
6,New Zealand,Glenn Phillips,2.0,0.0,11.0,5.5,2.0,0.0,0.0,0.0,0.0
7,Bangladesh,Mustafizur Rahman,10.0,0.0,70.0,7.0,26.0,6.0,3.0,0.0,0.0
7,Bangladesh,Taskin Ahmed,6.0,0.0,38.0,6.33,19.0,4.0,1.0,2.0,0.0
7,Bangladesh,Shoriful Islam,10.0,0.0,75.0,7.5,25.0,11.0,0.0,1.0,0.0
7,Bangladesh,Mahedi Hasan,8.0,0.0,71.0,8.87,17.0,10.0,1.0,0.0,0.0
7,Bangladesh,Shakib Al Hasan,10.0,0.0,52.0,5.2,25.0,4.0,0.0,1.0,0.0
7,Bangladesh,Mehidy Hasan Miraz,6.0,0.0,55.0,9.16,10.0,6.0,2.0,0.0,0.0
7,England,Chris Woakes,8.0,0.0,49.0,6.12,24.0,6.0,0.0,0.0,0.0
7,England,Reece Topley,10.0,1.0,43.0,4.3,35.0,3.0,1.0,0.0,0.0
7,England,Sam Curran,7.2,0.0,47.0,6.4,15.0,5.0,0.0,2.0,0.0
7,England,Mark Wood,10.0,0.0,29.0,2.9,38.0,2.0,0.0,1.0,0.0
7,England,Adil Rashid,10.0,0.0,42.0,4.2,31.0,1.0,1.0,0.0,0.0
7,England,Liam Livingstone,3.0,0.0,13.0,4.33,11.0,0.0,1.0,0.0,0.0
8,Pakistan,Shaheen Shah Afridi,9.0,0.0,66.0,7.33,27.0,9.0,1.0,4.0,0.0
8,Pakistan,Hasan Ali,10.0,0.0,71.0,7.1,32.0,6.0,4.0,3.0,1.0
8,Pakistan,Mohammad Nawaz,9.0,0.0,62.0,6.88,23.0,7.0,1.0,0.0,0.0
8,Pakistan,Haris Rauf,10.0,0.0,64.0,6.4,30.0,6.0,2.0,1.0,0.0
8,Pakistan,Shadab Khan,8.0,0.0,55.0,6.87,20.0,6.0,1.0,0.0,0.0
