Match,Team,Batting_1_name,Batting_1_runs,Batting_1_balls,Batting_1_4s,Batting_1_6s,Batting_1_strike_rate,Batting_2_name,Batting_2_runs,Batting_2_balls,Batting_2_4s,Batting_2_6s,Batting_2_strike_rate,Batting_3_name,Batting_3_runs,Batting_3_balls,Batting_3_4s,Batting_3_6s,Batting_3_strike_rate,Batting_4_name,Batting_4_runs,Batting_4_balls,Batting_4_4s,Batting_4_6s,Batting_4_strike_rate,Batting_5_name,Batting_5_runs,Batting_5_balls,Batting_5_4s,Batting_5_6s,Batting_5_strike_rate,Batting_6_name,Batting_6_runs,Batting_6_balls,Batting_6_4s,Batting_6_6s,Batting_6_strike_rate,Batting_7_name,Batting_7_runs,Batting_7_balls,Batting_7_4s,Batting_7_6s,Batting_7_strike_rate,Batting_8_name,Batting_8_runs,Batting_8_balls,Batting_8_4s,Batting_8_6s,Batting_8_strike_rate,Batting_9_name,Batting_9_runs,Batting_9_balls,Batting_9_4s,Batting_9_6s,Batting_9_strike_rate,Batting_10_name,Batting_10_runs,Batting_10_balls,Batting_10_4s,Batting_10_6s,Batting_10_strike_rate,Batting_11_name,Batting_11_runs,Batting_11_balls,Batting_11_4s,Batting_11_6s,Batting_11_strike_rate
6,Netherlands,Vikramjit Singh ,12,20,1,0,60.00,Max O'Dowd ,16,31,2,0,51.61,Colin Ackermann ,69,73,5,0,94.52,Bas de Leede ,18,25,3,0,72.00,Teja Nidamanuru ,21,26,2,1,80.76,Scott Edwards (c)†,30,27,2,1,111.11,Sybrand Engelbrecht ,29,34,3,0,85.29,Roelof van der Merwe ,1,6,0,0,16.66,Ryan Klein ,8,15,0,0,53.33,Aryan Dutt ,11,20,0,1,55.00,Paul van Meekeren ,4,3,1,0,133.33
7,England,Jonny Bairstow ,52,59,8,0,88.13,Dawid Malan ,140,107,16,5,130.84,Joe Root ,82,68,8,1,120.58,Jos Buttler (c)†,20,10,1,1,200.00,Harry Brook ,20,15,3,0,133.33,Liam Livingstone ,0,1,0,0,0.00,Sam Curran ,11,15,1,0,73.33,Chris Woakes ,14,11,2,0,127.27,Adil Rashid ,11,7,1,0,157.14,Mark Wood ,6,5,1,0,120.00,Reece Topley ,1,2,0,0,50.00
7,Bangladesh,Litton Das ,76,66,7,2,115.15,Tanzid Hasan ,1,2,0,0,50.00,Najmul Hossain Shanto ,0,1,0,0,0.00,Shakib Al Hasan (c),1,9,0,0,11.11,Mehidy Hasan Miraz ,8,7,1,0,114.28,Mushfiqur Rahim †,51,64,4,0,79.68,Towhid Hridoy ,39,61,2,0,63.93,Mahedi Hasan ,14,32,1,0,43.75,Taskin Ahmed ,15,25,0,1,60.00,Shoriful Islam ,12,14,2,0,85.71,Mustafizur Rahman ,3,9,0,0,33.33
8,Sri Lanka,Pathum Nissanka ,51,61,7,1,83.60,Kusal Perera ,0,4,0,0,0.00,Kusal Mendis †,122,77,14,6,158.44,Sadeera Samarawickrama ,108,89,11,2,121.34,Charith Asalanka ,1,3,0,0,33.33,Dhananjaya de Silva ,25,34,3,0,73.52,Dasun Shanaka (c),12,18,0,0,66.66,Dunith Wellalage ,10,8,1,0,125.00,Maheesh Theekshana ,0,4,0,0,0.00,Matheesha Pathirana ,1,3,0,0,33.33,,,,,,
8,Pakistan,Abdullah Shafique ,113,103,10,3,109.70,Imam-ul-Haq ,12,12,1,0,100.00,Babar Azam (c),10,15,1,0,66.66,Mohammad Rizwan †,131,121,8,3,108.26,Saud Shakeel ,31,30,2,0,103.33,Iftikhar Ahmed ,22,10,4,0,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Afghanistan,Rahmanullah Gurbaz †,21,28,3,1,75.00,Ibrahim Zadran ,22,28,4,0,78.57,Rahmat Shah ,16,22,3,0,72.72,Hashmatullah Shahidi (c),80,88,8,1,90.90,Azmatullah Omarzai ,62,69,2,4,89.85,Mohammad Nabi ,19,27,1,0,70.37,Najibullah Zadran ,2,8,0,0,25.00,Rashid Khan ,16,12,1,1,133.33,Mujeeb Ur Rahman ,10,12,2,0,83.33,Naveen-ul-Haq ,9,8,1,0,112.50,,,,,,
9,India,Rohit Sharma (c),131,84,16,5,155.95,Ishan Kishan ,47,47,5,2,100.00,Virat Kohli ,55,56,6,0,98.21,Shreyas Iyer ,25,23,1,1,108.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,South Africa,Quinton de Kock †,109,106,8,5,102.83,Temba Bavuma (c),35,55,2,0,63.63,Rassie van der Dussen ,26,30,2,0,86.66,Aiden Markram ,56,44,7,1,127.27,Heinrich Klaasen ,29,27,3,0,107.40,David Miller ,17,13,1,1,130.76,Marco Jansen ,26,22,3,1,118.18,Kagiso Rabada ,0,1,0,0,0.00,Keshav Maharaj ,0,2,0,0,0.00,,,,,,,,,,,,
10,Australia,Mitchell Marsh ,7,15,0,0,46.66,David Warner ,13,27,2,0,48.14,Steven Smith ,19,16,4,0,118.75,Marnus Labuschagne ,46,74,3,0,62.16,Josh Inglis †,5,4,1,0,125.00,Glenn Maxwell ,3,17,0,0,17.64,Marcus Stoinis ,5,4,1,0,125.00,Mitchell Starc ,27,51,3,0,52.94,Pat Cummins (c),22,21,4,0,104.76,Adam Zampa ,11,16,1,0,68.75,Josh Hazlewood ,2,2,0,0,100.00
11,Bangladesh,Litton Das ,0,1,0,0,0.00,Tanzid Hasan ,16,17,4,0,94.11,Mehidy Hasan Miraz ,30,46,4,0,65.21,Najmul Hossain Shanto ,7,8,1,0,87.50,Shakib Al Hasan (c),40,51,3,2,78.43,Mushfiqur Rahim †,66,75,6,2,88.00,Towhid Hridoy ,13,25,0,0,52.00,Mahmudullah ,41,49,2,2,83.67,Taskin Ahmed ,17,19,0,2,89.47,Mustafizur Rahman ,4,10,0,0,40.00,Shoriful Islam ,2,3,0,0,66.66
11,New Zealand,Devon Conway ,45,59,3,0,76.27,Rachin Ravindra ,9,13,2,0,69.23,Kane Williamson (c),78,107,8,1,72.89,Daryl Mitchell ,89,67,6,4,132.83,Glenn Phillips ,16,11,1,1,145.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Pakistan,Abdullah Shafique ,20,24,3,0,83.33,Imam-ul-Haq ,36,38,6,0,94.73,Babar Azam (c),50,58,7,0,86.20,Mohammad Rizwan †,49,69,7,0,71.01,Saud Shakeel ,6,10,0,0,60.00,Iftikhar Ahmed ,4,4,1,0,100.00,Shadab Khan ,2,5,0,0,40.00,Mohammad Nawaz ,4,14,0,0,28.57,Hasan Ali ,12,19,2,0,63.15,Shaheen Shah Afridi ,2,10,0,0,20.00,Haris Rauf ,2,6,0,0,33.33
